commenttext,toxic
My thought of this waste of skin' catching his just desert at 3300fps wouldn't make me a popular guy with  the no free people allowed party But I don't live on the bookends of this country The rest of you libshits' would do yourselves justice to know the MAJORITY of Real Americans despise you in every way Know It and own it Every day you continue to exist is because ying must have yang motherjumper,true
Wow an a-hole that makes a CNN interviewer seem reasonable and balanced,true
Never argue with an idiot,true
They are protecting and serving us from people like Michael Brown The guy deserved to be killed cry more about it,true
I find it amusing how all of these protesters claim they're fighting against racism but yet they are blind to their own racism There have been several reports of black people attacking white people Just a couple of days ago it was reported that a white man was beaten to death with a hammer by black teens in St Louis Yeah clearly no racial intent there Fucking hypocrites ,true
Michael Brown rob a store assaulted the store owner Then fought with a police officer Darren Wilson in and through the police window went for the officer gun then was shot and killed Brown did not have a shirt saying I'm not armed This is what happens when you do criminal activity regardless of the color of your skin A linch mob mentality should not get there way or public pressure when all the facts support Browns activity of the day Some wonder if Brown wanted death (suicide) by cop for his family could sue,true
this fucking fuck can't even defend himself properly what a joke,true
Wow Think I'm going to buy a bullet proof vestshit if your black it's like everybody is tryin' to shoot you,true
If a black officer shot a white guy it would be fine by black people I'm not a racist,true
This delusional moron's anger is ONLY justified if Mike was indeed unjustly killed If on the other hand Mike was a malicious person and the shooting was justified then all the rioting is not justified NO ONE can know what happened there that day so any riots are taking place on the basis of assumptions ,true
OMG IT'S A TERRORIST AN ISIS UNDERCOVER-AGENT What are you doing Americans???? ARREST HIM,true
The city is full of really really really dumb people  Can't try to reason with them,true
This is not your counties go back to he middle east that's your counties b,true
Why is it that in the history of mankind where people of all color creed and cultures have found a way to rise out of the ashes of oppression for their self betterment and self preservation EXCEPT for the blacks?????????????? WHY? Please enlighten me to this unknown phenomena,true
What a fucking douche bag,true
CNN needs to hire that man He is a real American We are in trouble,true
One feral hoodlum put down the rest of us no longer need to fear his thuggish behavior Upset about that? Blame his parents- they failed to raise him right and provide proper supervision Or he was just defective from the start Either way sounds like a case of quality control to me Thank you Officer Wilson for doing your job,true
The US government is killing its population,true
FAKECNN IS BS,true
We need to get back to basics When these savages riot or protest use the German Shepard's then shoot these animals,true
Why the hell are they even interviewing him? This guy's such an idiot,true
Oh my God I fucking love that Arab guy Such wise words He is seriously someone who has open eyes to the world He sees things for how they are which is so rare in our world today A big fucking amen to that guy Wake the fuck up America,true
This guy an idiot if that's the best you can do you have lost already WHAT A BOZO,true
he can go back where he's from period big mouth MORON,true
Yep a Muslim bitch,true
Masri is unemployed,true
That punk did not get blasted for no reason If that cop didn't shoot him someone else would have,true
A lot of people and the entire media is missing this huge crucial point: WHY was Micheal Brown even stopped in the first place??? The day it happened the officer said that it was because Mike Brown was walking in the street Then a few days later it was because he had robbed a convenience store Despite the fact that owner himself says that his store was never robbed The officer was apparently in fear for his life The PD claims he was seriously injured in the altercation with Mike Brown Even though there is a video showing the officer perfectly fine standing by Mike's body an hour after the shooting Also Mike's body was 35 feet away from where the officer was when Mike apparently charged at him Man the police are full of shit If you can't see that this shit was made up then you're either a bigot or just a fucking idiot,true
Perhaps you should start teaching blacks that law and education is important instead of treating them as special snowflakes?,true
The more those people fuck up America the more American will fucking hate them,true
What's with all the dislikes? White people are that offended? You thought racism wasn't an issue anymorethink again,true
heard a Billionaire funded these organised riots what a fucken suck joke,true
Fucking savages Protest sumthing real Like how your government is robbing you and sendin your kids to an elegal WAR You are the laughing stock of America congrats,true
And in this section ladies and gentlemen you will see black people misbehaving I wonder what would happen if everyone rioted when court decisions do not go their way,true
Dirtbags all of them Including CNN,true
As I watched I kept muttering shoot shoot pull the trigger Rubber bullets hurt like a MFer,true
how fucking brain dead do you have to be to let the Nazi police scum bags just take you in,true
Dis be furgusun in de unitid stateth o' murka - Retard starts violent protest and then tries to pawn off the 'police state' lie when the cops arrive,true
USA land of the free baby HAHAHAHA All you people not living in USA should be thankful everyday This is the worse country on earth,true
no dumber people on earth then americans,true
At 16 screw the price of crap that thinks he's cool to disrespect the AMERICAN FLAG,true
shoot first ask questions later hahahahahaha,true
should have shot,true
A true dictatorship  Let's wait and check which of the coutries will start sanctioning on US government? I guess none of countries because USA is a corrupted all of countries in the world except Russia and China,true
awesome job from our law enforcement now send off to disrupt & tear down all the Islamic extremist radicals in America thanks,true
to bad those weapons were not discharged,true
Police cleaned that mess up quick Nice,true
i find this satisfying for some reason,true
Those guns use rubber bullets stupid Russian news channel,true
Protesters suck,true
a rocket launcher will take care of that lightly armored vehicle lol,true
Too bad that these were riot shotguns and not loaded with live rounds,true
Time to test the police guns fire fire,true
Buy ak47 shoot all USA copa,true
Ah beautiful,true
Kill all protesters,true
Blue lives let’s matter send those BLM commies our of our streets,true
I'm with cops Those protesters steal and destroy things They aren't solving shit,true
Our shit serving media concocts a story white cop kills an innocent black teenager which is bullshit to get the black community up in arms they burn shit downmore stories for these useless talking heads to get in front of a camera with At least once a week i see a black on white crime reported on the newsno national attentionno federal involvementwtf? Black men need to stand up and be fathers and stop looking for excuses fuck yall all yall,true
Funny to thing the government can be trusted to judge itself Fucking disgusting ,true
You know its crazy I actually came across your video about bitcoin while trying to learn more about it and knew you looked familiar I took the time to look at some of Mike Browns personal profiles myself specifically his soundcloud While I do think he is guilty of representing himself in the wrong light and maybe of stealing he still didn't deserve to die The fact that WHITE people like yourself continued to insinuate it is ridiculous and shows your clear lack of empathy and sympathy It seems you all are more like the animals you think we are And its especially offensive looking back at these videos 3 years later when hip/hop rnb (OUR BLACK CULTURE) is the biggest thing and media and you still dont understand our perspectives To say Trayvon Martin was making lean in on of your other videos shows how ignorant you truly are as well Sprite or Fanta or a CARBONATED DRINK is used when making leanNot tea,true
This is the typical mindset of white people ( not all white people but most) He deserved it  So I say to you people like Sean Hannity are feuling the fires of prejudice and racism Don't let these people influence you They want a race war so they can start marshall law,true
You perform a basic snatch and grab robbery at a local convenience store which turns into a strong arm robbery on an immigrant midget store clerk and in less than 30 minutes later you get lit up by a yahoo cop who told you to get the fuck out of the middle of the road and proceeded on until he recognized you as fitting the description of the assailant which just came over his radio talk about Mutherfuckin Karma Stealing shit does not warrant deadly force but Karma's a Bitch and who the fuck has the ability to control it or direct it's measures of decree? Ain't no Mutherfucker who puts on his pant's one leg at a time that's for sure,true
More of Your corrupt police will be harmed now They are not safe from me I will defend my self by fighting back and shooting them DEAD so get your will's ready cause its on  catalyst? the facts of the city/town/government/usa are the CATALYST This pot has been boiling over for too many years and now you have the generation that will bring the equalizer to your door step We also have a PURGE you will feel its effect ,true
you are clearly a racists shrill a canadian vegatable a plant that lives in a box of ivory snow and truly knows nothing about the Negro race ,true
@Stefan Molyneux You sir are the dumbest smart guy ever You are a researcher? Research the enitre history of the Blackman in America and you will understand why things are the way they are You are so detachted from reality it is comical,true
If blacks want respect then speak act and dress like the Huxtable family You want to be treated with prejudice then speak act and dress like known gangsters steal things act like you own the street,true
     Leaving out information when giving a police report because they didn't ask you for that info *is* lying by omission That's why it's not outright lyingbecause you omitted the information These are some stupid lawyers,true
it''s freaking 2014 and some people are still racist police are still awful ,true
Great video Although I wish he would've focused more on all the shit police are doing because that's the only thing keeping the rioters and their supporters from being complete idiots,true
a thug going to college  black people  are always  crying    what about the American Indians  I don't see no one crying for them  ,true
Bullshit the best places to live in America are completely liberal and the worst places to live in America are overwhelmingly republican And that is a fact jack,true
so you want to shoot them can hardly wait till one of your kids gets in trouble with the police and gets killed,true
Cops NEED to be given a very wide latitude in self defense considering the threats they face and they if incapacitated they have a very high chance of being executed with their own dam gunNoone seems o care about this shit,true
since we now know that he never held his hands up  Anyone who raises his hand up to show he is against the police of Ferguson is a racist scumbag  Watch tv and count them  There are a lot of racist scumbags out there,true
ALSO LOVE HOW THEY ONLY SHOW PICTURES OF BROWN AS AN ANGEL AND NOT AS A TUG,true
@23:00 hear what the guy is saying That a policemen stated that in his 31 years of service 8 officers have died by their own weapon and one was shoot execution style or whatever So why the fuck does Officer Wilson let this 300 pound guy run 150ft--he's too big to run that fast I can assume? Shouldn't it take about 30-40 ft to tell Brown to freeze or he'll shoot? Bs all the way if you tell me,true
death ti the white devil,true
I don't care about Mike brown or any other bullshit But it's clearly understood that this youtube guy is a racist and very dumb His points do hold a little water but he's full of hate and lies100%,true
I watched your Zimmerman case video and you are full of SHIT I can smell the hate seeping out of you You bringing up RAP music and what he listens to it or his sound-cloud is nothing more to make his charcter look as foolish and dangerous as possible To who ever wants to respond to it this FUCK YOU AZ WELL>You go through so much effort to destroy Mike Brown's character by bringing up his smoking habits which have nothing to do with why he got shot Your tone and the perfectly chosen words you use really makes Brown look like he was Unstable Look at how much detail u went trhu to slay Brown's character,true
Remember the looting(stealing) by the blacks is purely and only to gain free goodsAll in the name of Mike BrownYea rightIt's an excuse to steal-pure and simpleA good concise introspective SteffanSome folks live off grievanceThis follows perfectly after the white guilt segmentKeep em rollin,true
You call yourself a researcher and that you plan is examine the facts yet you mention bullshit rumours Trayvon martin had iced tea and skittles those were the FACTS Speculation and victim blaming is what you are actually doing Stop trying to pretend yo examining the facts ,true
Here I was thinking I was getting a bunch of facts Lean is not made with skittles and iced tea Wilson did not know about the robbery This video is a bunch of poppy cock Thank you for wasting my time,true
LOL trayvon's online name was nolimitnigga how is it again people got mad that a piece of human trash like that got shot?,true
Yea fuck that store clerk to how dare he try to do his job,true
This 18-year-old was just another useless negro who could barely pass inner-city high school I'm glad he was shot dead on the street like a dog﻿,true
How can the police concentrate on any investigation with all these people  (if they can be called that) misbehaving I hope this investigation gets all cancelled until they can behave and they let the police work Everyone says this guy committed suicide by cop by attacking the police in the first place how more clear can this be You just don't disrespect the Police that way,true
your an educated Dumb ASSSS))) rap is rap its not real its people like you I dispise,true
Seriously YouTube? Go FUCK yourself I find a comment on my Android phone I want to reply to but OF COURSE I can't scroll copy or paste while posting a comment on an android device because it's only fucking almost 2015 and our technology just isn't able to handle such a mountainous task So I hop on the computer and try looking for the goddamned comment but OF COURSE the comment system on YouTube is just SO beyond fucked up that searching for a comment is completely impossible An HOUR LATER and I still can't find the fucking thing I have to search for the string read more and then click on every single stupid fucking comment to expand them all before I can THEN search for a piece of the comment that I want to find from a phrase I can remember AND THAT'S after having to click on every fucking view all xxx comments and expand THOSE And then if by some MIRACLE OF CHRIST ALFUCKINGMIGHTY I actually FOUND the piece of shit comment by some moron who it wouldn't even matter if I replied because he's a thick-skulled inbred troglodytic fucknut anyway? It'd automatically scroll me down 200 pages of comments right after I clicked reply so I couldn't copy paste quote etc without having to scroll up and down for an hour because GOD FORFUCKINGBID the reply box was right underneath the ACTUAL comment I was replying to,true
Your gentle giant seems to have robbed a store and later assaulted an armed police officer So much for the school boy look you were hoping for thug life comes with a high price,true
Bullshit Stef Police officers have pepper spray stun guns and a number of non-lethal methods at their immediate disposal The real question should these versions of the events hold true is why was the gun the first option the officer went for? ,true
It is better for society for the greater goodthat Michael Brown went off the rails now before he got ushered through college life on an athletic scholarship and became a Brown killer like OHSimpson became  OlJ was found civilly liable y'know,true
Was Stefan ever a victim of police discrimination? The game of white supremacy is to deny aNY involvement and play the victim when blacks complainit never fails watch the comments,true
FACTS prove he was a THUG,true
If Michael Brown was Asian his name would be Dindu Nuffin Wong,true
Hey last week in Kansas City Mo a Black man snuck into a retirement housing broke into a house Beating 80 year old couple to death then went outside attempted to hot wire antique car Three neighbors came out of their town-houses Mr Howell (afro american) took his 12 gauge shot gun EXECUTED them by Blowing their heads off He was only one armned a known felon who had gotten out of a previous murder charge because they could not find the young girls bodyNow that is OK because they were ol d white people/caucasiansWhere is Al Sharpeton & Jesse Jackson NOW,true
Well we all know the truth today and yet we still hear the hands up don't shoot BULLSHIT lie (see Beyonce)  Yet we still see this moniker being used as a reason (lie) to shoot at Cops and outright assassinate them,true
the guy was a monster he got what he deserved color didn't matter anyone that attacks a guy with a gun is gonna get shothe did a stupid illegal act tried hurting someone and got blasted give the cop a raise,true
racist piece of shit you reach for anything to justify murder it is extremely shameful how you slant facts in order to justify your racist and biased views ,true
Stop advertising swisher sweets lolur a racist point blank,true
This man has an intelligence the average black man can't comprehend Its like a dog trying to figure out how man makes a house,true
Link between poor little tryvon martin and little mr brown? Yeah they were both thug's that tired to beat the white person into the ground and got shot for their effordsend of story,true
Michale brown got what he was asking for the black protestors are racist against whites that is what's happening,true
I believe in those photos the gentle giant and his accomplice are giving gang signs no? Even if Brown did raise his hands in surrender maybe he realized he'd blown it could get in trouble and by then Officer Wilson's adrenaline was running high and reacted Officers don't hesitate or they'd lose their lives Lord knows there's no such thing as a thug that goes to college? Look at all those angelic professional athletes that keep getting arrested What crap we're being fed I'm disgusted,true
How da Fuck do this gay ass bald white frenchy nigga gonna set hisself up as a dang judge a this whole criminal conspiracy Micheal brown had his MOTHAFUCKIN HANDS IN THE AIR SON If u so smart then u should know that when a nigga has his hands in the mothafuckin air that's a sign SHOWIN HE WAS INNOCENT OF THA CRIME Sorry for the cussin but that shit be internationally recognized as an indication of INNOCENCE ON THE PART OF THE PERPETRATOR What y'all niggas in the media have here is a plain old fashioned example a MURDER IN THE FIRST DEGREE on the part a Mr Officer Darren Wilson for takin the life a this nigga who was a COLLEGE STUDENT Niggas at kent state be protestinthey get they asses shot and it's a historic event Michael brown shot dead in the street while he takin part in the ferguson protests and y'all media mothafuckas try to explain it away,true
This is so far off base that you can't even call it propaganda BS,true
It looks like M Brown did the suicide by cop thing,true
Pathetic pseudo philosophy you vile little man ,true
exactly right Stefancrime and bad decisions creates poverty and poor unattractive areas criminals don't steal necessities  it's just to get respect from their homies pathetic,true
Brown was a piece of shit and the world is better off without him,true
BLACKS ARE TIRED OF BEING KILLED FOR NOTHING HE DIDN'T HAD A WEAPON SO YOU SHUT YOUR ASS WHITE DEVIL ALL WHITE PEOPLE ARE EVIL,true
This makes me so damn angry All of this over some worthless thug who got himself shot? The protests those animals looting and tearing shit up in their own neighborhoods over this? This is why everyone thinks the black community is fucked up because it is fucked up,true
Criminal got shot Great,true
Black cop kills white kidBlack kid kills white cop  Does anyone riot protest and engage national news?  No  Race isn't mentioned in either of these circumstances  So think about it then ask yourself this question (and answer honestly): Who are the REAL racists in this country? ,true
That video of him pushing that clerk around really made me lose any sympathy for him You can definitely tell from that the guy was most likely a dickBut hell I need a new TV so I might as well riot and go loot one in his honor,true
this dude is lying his azz off racist cracka,true
I guess it sucks that those 2 construction workers show up and prove this entire video to be wrong,true
Right on Finally some Sane opinion on this event These Black bastards are soooooooooo IGNORANT Running around yelling and looting and carrying on just like in LA Riots Same old shit,true
This video is so biased and full of shit,true
Okay but what in the literal fuck do Skittles and tea have to do with lean?,true
So the autopsy showed a number of wounds to the right arm making the scenario of him being shot with his hands raised a lot less likely Or are we still trying to claim that? Let's see innocent unarmed gentle giant minding his own business gunned down in cold blood for jaywalking by a sadistic jack-booted racist thug of a police officer who shot the innocent youth in the back while his hands were raised trying to surrender I keep forgetting which BS story we are still trying to defend and which claims have been totally refuted by the facts Regardless it doesn't matter because we have already decided that the cop is guilty,true
I THINK THAT GENTLE GIANT WOULD HAVE KILLED YOU AND SONGS AND RAP BOTH TALK BAD,true
whites are weak,true
The white race is the racist race,true
Once again molyneux spreads complete information that is complete garbage,true
White Supremacy at its best,true
Michael Brown would not have been going to college if he had lived He would have been in the county jail awaiting trial for robbery assault on a police officer and maybe even attempted murder,true
These comments are fucking ridiculous seeing this video over a year after We all know “hands up don’t shoot” is bullshit Still a tragedy but let’s not keep exploiting this mans death No good has come from this in anyway shape or form,true
“Black thugs” what’s your plan @seattlemqrksjoin3 tf,true
Did he really say trevon martin brought watermelon and skittles to make lean? Lol yo white ppl will say aaannnyything to make blk ppl look a certain way other then the trutheven if trevon said he was a no limit nigga so the fuck what kids say dumb things all the time i once said i was batman lol and? They sicken me an will make up any kind of excusewhy dont u talk about the second video tbat came out 2 years after the mike brown situation an how the cops said they didnt think it was important but it showed that mike made a trade with the store owner so there was no robbery lol how about u talk about the corruption with the police and media for withholding information?,true
All you people justifying murder are evil,true
If the injustice was against white kids would there be ANY excuse?,true
Man this guy has nothing but a bunch of waffling nonsense coming out of his mouth can you answer the question or what,true
Ana is fuxking hot,true
I do not really care to much for some cops but somebody tell this dumb ass girl 1 600 unarmed white people every year are killed by blacks & 3 weeks ago a BLACK COP shot a unarmed white man in salt lake city & 50% of all crime is committed by blacks I can understand some crimes are poverty related but in 2009 AD over 10 000 white women were raped by blacks FBI REPORTS what the fuck does rape have to do with being poor??? Answer nothing & anyone who rapes someone should be hanged by the neck until dead,true
I agree with Joe that being a cop is an extremely difficult job that not many are qualified to handle And yes there are lots of good cops out there However as intelligent and as unplugged out of the matrix as Joe always claim to be he seems to be completely unaware or is ignoring the reality of this country's corrupt prison industrial complex and their ties to our failed judicial system as well as the racial agenda behind police brutality,true
Tear gas against the Geneva Convention???? HAHAHAHAHAHAHAH,true
Tear gas banned by the geneva convention? Really? Stupid cunts Also he assaulted a man earlier in the day then assaulted a police officer Thats a violent felony Add to that how big that thug was and now tell me why you are saying he was unarmed and shouldnt have been shot The fucker tried to take the cops gun once already Tell me if you would be this outraged if that thug killed the cop Double standards Any one who says different is just as stupid asthese two,true
You need to be able to call in people with guns in CA because the citizens are completely disarmed :) That North Hollywood Bank Heist would have been much shorter in cities where people havent been stripped of their 2nd ammendment rights,true
Anna is a dumb ass n Joe rogan has no clue what he is sayingAnna go do porn or something n leave this job to some one more intelligent,true
Vile cunt,true
Joe rogan is an idiot,true
Since when did we start giving a fuck what Joe Rogan has to say about anything Didn't he used to make people eat bugs and shit now he's a social commentator? come the fuck on,true
I wish Joe would have gone all Fear Factor on her and had her eat a fresh steaming pile of shit so her mouth would have been full and we didn't have to hear this worthless cunt speak at all,true
Non lethal weapon's do not control crowds lol I love Rogan but this discussion was stupid as fuck,true
Shibby dibby ignoramus ass bitch,true
You can't shoot tear gas at professional soldiers but members of the public in your own country is absolutely fine,true
THIS BITCH SHOULD BE DEPORTED,true
Jimmy Dore is a dickhead squared,true
bear mace and gas pedal,true
Fucking dumbass attention whores causing more problems,true
If they were doing that to me they would be eating all the coal I could roll,true
What a garbage police kick them all out of their jobs what are they paid for if they can do what they supposed to do they let that shit off protesters blocking thousands of people from which some of them could have an emergency I wouldn't be surprised when I see the video that police like to kissing themWhat a idiotic law enforcement you have there,true
where is the nice lorry driver when you need him should have just ran these fucks over,true
mmh 2 years already still the same moronic bullshit going on in your shit ass country,true
Run over the mdrfckrs,true
Run them over,true
2:22 a piece of shit that has no business wearing even a CHP uniform,true
You know what is worse than being late to work being shot and killed,true
Run them down,true
They should all be shot I would have ran all of them over,true
I've always been so good at being moderate and understanding but when I saw the woman in scrubsscrew the Black Lives Matters movement I hope it dies,true
look at the dimwad policeescorting back the people being held upidiots,true
All you have to do is drive slowly towards them If they're smart they'll get out of the way,true
Truly sad The people who were stopped on the roadway should have simply walked up the  protestors and informed them that in 30 seconds they were going to use them as punching bags boys and girls if they did not move If they did not disband lay into them Those bitches needed their asses kicked As far as the CHP not even one citation was written Bitch cops,true
How the fuck is this peaceful? Gun and gas this human road block problem solved,true
RUN THEM OVER,true
why is Black lives matter out there ? take your Black asses Home  has Nothin to do with your Black asses,true
Did the Store owner ever get PAID for the cigars this fn innocent my asskid STOLE???,true
some of us have jobs you fucking losers Get out of our way,true
Glad these protestors affect so many people gives the public more reasons to hate them,true
Anyone stupid enough to stand in the roadway should be run over If they die it will only improve the gene pool,true
The drivers should have just ran them over and kept going,true
Blacks are able to do this because it was White people in rush hour traffic coming home from a job They bring their lazy asses out from watching TV and getting high to fuck with the very people providing their welfare Yea these White people are the same who sit on juries that rule on po-lice brutality and shootings Piss them off I'm SO sure you're getting them to see your side of the story,true
cop dont even do anything wtfprotesters i want to break there face in losers nolifes,true
The only time I'd want to see a sniper in the bushes start picking them off one by one,true
Get a job,true
The drivers should've pounded on them,true
Useless people standing in the middle of the road screaming useless shit,true
Rich brats,true
